human_gene_symbol,dmel_gene_id,dmel_gene_symbol,diopt_score,top_diopt_for_human_gene,hgnc_id,omim_gene_id,omim_phenotype_ids,flybase_disease_model_count,flybase_disease_model_ids,ortholog_source
GNAT1,FBgn0050054,CG30054,5,False,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
GNAT1,FBgn0004435,Galphaq,5,False,HGNC:4393,MIM:139330,"610444,616389",1,FBhh0000976,FlyBase_FB2026_02
GNAT1,FBgn0000384,cta,5,False,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
GNAT1,FBgn0010223,Galphaf,4,False,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
GNAT1,FBgn0001123,Galphas,3,False,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
GPX1,FBgn0034415,Gpxl,4,True,HGNC:4553,MIM:138320,614164,0,,FlyBase_FB2026_02
GPX1,FBgn0035438,Gtpx,4,True,HGNC:4553,MIM:138320,614164,0,,FlyBase_FB2026_02
HYAL3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
HYI,FBgn0011770,Gip,13,True,HGNC:26948,MIM:619128,,0,,FlyBase_FB2026_02
IQCF3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
KAT2B,FBgn0020388,Gcn5,12,True,HGNC:8638,MIM:602303,,1,FBhh0000941,FlyBase_FB2026_02
KAT2B,FBgn0027620,Acf,3,False,HGNC:8638,MIM:602303,,1,FBhh0000941,FlyBase_FB2026_02
KCNJ13,FBgn0039081,Irk2,4,True,HGNC:6259,MIM:603208,"193230,614186",2,FBhh0001613 | FBhh0001614,FlyBase_FB2026_02
KCNJ13,FBgn0032706,Irk3,4,True,HGNC:6259,MIM:603208,"193230,614186",1,FBhh0001613,FlyBase_FB2026_02
KDM4A,FBgn0033233,Kdm4A,10,True,HGNC:22978,MIM:609764,,0,,FlyBase_FB2026_02
KDM4A,FBgn0053182,Kdm4B,9,False,HGNC:22978,MIM:609764,,0,,FlyBase_FB2026_02
KIFC2,FBgn0002924,ncd,3,True,HGNC:29530,MIM:615216,,0,,FlyBase_FB2026_02
L3MBTL4,FBgn0002441,l(3)mbt,8,True,HGNC:26677,MIM:617135,,2,FBhh0000773 | FBhh0000954,FlyBase_FB2026_02
L3MBTL4,FBgn0032475,Sfmbt,3,False,HGNC:26677,MIM:617135,,0,,FlyBase_FB2026_02
LRRC14,,,,False,,,,0,,FlyBase_FB2026_02_no_match
LRRC24,,,,False,,,,0,,FlyBase_FB2026_02_no_match
LSM6,FBgn0034564,CG9344,14,True,HGNC:17017,MIM:607286,,0,,FlyBase_FB2026_02
MAML3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
MAPKAPK3,FBgn0013987,MAPk-Ak2,14,True,HGNC:6888,MIM:602130,617111,0,,FlyBase_FB2026_02
MED8,FBgn0034503,MED8,14,True,HGNC:19971,MIM:607956,,0,,FlyBase_FB2026_02
MEF2C,FBgn0011656,Mef2,11,True,HGNC:6996,MIM:600662,613443,3,FBhh0000770 | FBhh0001116 | FBhh0001217,FlyBase_FB2026_02
MFSD3,FBgn0036662,CG9706,3,True,HGNC:25157,MIM:620308,,0,,FlyBase_FB2026_02
MON1A,FBgn0031640,Mon1,14,True,HGNC:28207,MIM:611464,,0,,FlyBase_FB2026_02
MPL,,,,False,,,,0,,FlyBase_FB2026_02_no_match
MROH1,FBgn0040236,c11.1,12,True,HGNC:26958,,,0,,FlyBase_FB2026_02
MST1,,,,False,,,,0,,FlyBase_FB2026_02_no_match
MST1R,FBgn0025740,PlexB,3,True,HGNC:7381,MIM:600168,617075,1,FBhh0001025,FlyBase_FB2026_02
NF1,FBgn0015269,Nf1,14,True,HGNC:7765,MIM:613113,"162200,162210,193520,601321,607785",2,FBhh0000028 | FBhh0000197,FlyBase_FB2026_02
NKX2-4,FBgn0287186,scro,11,True,HGNC:7837,MIM:607808,,0,,FlyBase_FB2026_02
NKX2-4,FBgn0261930,vnd,3,False,HGNC:7837,MIM:607808,,0,,FlyBase_FB2026_02
POC1B,FBgn0036354,Poc1,10,True,HGNC:30836,MIM:614784,615973,0,,FlyBase_FB2026_02
PPIH,FBgn0033089,CG17266,14,True,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0034753,CG2852,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0036415,CG7768,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0004432,Cyp1,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0036020,Cyp40,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0039581,Moca-cyp,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPIH,FBgn0002936,ninaA,3,False,HGNC:14651,MIM:606095,,0,,FlyBase_FB2026_02
PPP1R16A,FBgn0036801,MYPT-75D,11,True,HGNC:14941,MIM:609172,,0,,FlyBase_FB2026_02
PTPRF,FBgn0000464,Lar,11,True,HGNC:9670,MIM:179590,616001,2,FBhh0000241 | FBhh0000282,FlyBase_FB2026_02
RBM6,FBgn0031318,CG4887,5,True,HGNC:9903,MIM:606886,,0,,FlyBase_FB2026_02
RBM6,FBgn0031319,CG4896,3,False,HGNC:9903,MIM:606886,,0,,FlyBase_FB2026_02
RECQL4,FBgn0040290,RecQ4,12,True,HGNC:9949,MIM:603780,"218600,266280,268400",0,,FlyBase_FB2026_02
RECQL4,FBgn0002906,Blm,3,False,HGNC:9949,MIM:603780,"218600,266280,268400",1,FBhh0000083,FlyBase_FB2026_02
RECQL4,FBgn0027375,RecQ5,3,False,HGNC:9949,MIM:603780,"218600,266280,268400",0,,FlyBase_FB2026_02
REELD1,FBgn0039648,CG14515,6,True,HGNC:53638,,,0,,FlyBase_FB2026_02
REELD1,FBgn0261534,l(2)34Fc,4,False,HGNC:53638,,,0,,FlyBase_FB2026_02
REELD1,FBgn0034067,CG8399,3,False,HGNC:53638,,,0,,FlyBase_FB2026_02
RHOA,FBgn0014020,Rho1,12,True,HGNC:667,MIM:165390,618727,0,,FlyBase_FB2026_02
RHOA,FBgn0014380,RhoL,3,False,HGNC:667,MIM:165390,618727,0,,FlyBase_FB2026_02
RNF123,FBgn0038296,Kpc1,14,True,HGNC:21148,MIM:614472,,0,,FlyBase_FB2026_02
ROBO2,FBgn0005631,robo1,9,True,HGNC:10250,MIM:602431,610878,2,FBhh0001474 | FBhh0001475,FlyBase_FB2026_02
ROBO2,FBgn0041097,robo3,8,False,HGNC:10250,MIM:602431,610878,0,,FlyBase_FB2026_02
ROBO2,FBgn0002543,robo2,7,False,HGNC:10250,MIM:602431,610878,0,,FlyBase_FB2026_02
RPL8,FBgn0261602,RpL8,14,True,HGNC:10368,MIM:604177,,0,,FlyBase_FB2026_02
RPL8,FBgn0036135,mRpL2,4,False,HGNC:10368,MIM:604177,,0,,FlyBase_FB2026_02
RPLP2,FBgn0003274,RpLP2,12,True,HGNC:10377,MIM:180530,,0,,FlyBase_FB2026_02
SEMA3F,FBgn0011260,Sema2a,6,True,HGNC:10728,MIM:601124,,0,,FlyBase_FB2026_02
SEMA3F,FBgn0264273,Sema2b,6,True,HGNC:10728,MIM:601124,,0,,FlyBase_FB2026_02
SEMA3F,FBgn0011259,Sema1a,4,False,HGNC:10728,MIM:601124,,1,FBhh0001409,FlyBase_FB2026_02
SEMA3F,FBgn0016059,Sema1b,4,False,HGNC:10728,MIM:601124,,0,,FlyBase_FB2026_02
SEMA6D,FBgn0011259,Sema1a,9,True,HGNC:16770,MIM:609295,,1,FBhh0001409,FlyBase_FB2026_02
SEMA6D,FBgn0016059,Sema1b,9,True,HGNC:16770,MIM:609295,,0,,FlyBase_FB2026_02
SEMA6D,FBgn0011260,Sema2a,3,False,HGNC:16770,MIM:609295,,0,,FlyBase_FB2026_02
SEMA6D,FBgn0264273,Sema2b,3,False,HGNC:16770,MIM:609295,,0,,FlyBase_FB2026_02
SH3RF2,FBgn0040294,POSH,4,True,HGNC:26299,MIM:613377,,0,,FlyBase_FB2026_02
SLC6A3,FBgn0034136,DAT,12,True,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0010414,SerT,7,False,HGNC:11049,MIM:126455,"188890,613135",4,FBhh0000652 | FBhh0000654 | FBhh0000749 | FBhh0001005,FlyBase_FB2026_02
SLC6A3,FBgn0031939,CG13796,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0028886,CG15279,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0033443,CG1698,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0035969,CG4476,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0033708,CG8850,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0039915,Gat,3,False,HGNC:11049,MIM:126455,"188890,613135",4,FBhh0000652 | FBhh0000654 | FBhh0000749 | FBhh0001504,FlyBase_FB2026_02
SLC6A3,FBgn0034911,GlyT,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0034381,List,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0029762,NAAT1,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0267326,Ntl,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A3,FBgn0011603,ine,3,False,HGNC:11049,MIM:126455,"188890,613135",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A9,FBgn0267326,Ntl,7,True,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0034911,GlyT,6,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0031939,CG13796,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0028886,CG15279,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0033443,CG1698,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0035969,CG4476,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0033708,CG8850,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0034136,DAT,3,False,HGNC:11056,MIM:601019,"617301,621428",3,FBhh0000652 | FBhh0000654 | FBhh0000749,FlyBase_FB2026_02
SLC6A9,FBgn0039915,Gat,3,False,HGNC:11056,MIM:601019,"617301,621428",1,FBhh0001504,FlyBase_FB2026_02
SLC6A9,FBgn0034381,List,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0029762,NAAT1,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SLC6A9,FBgn0010414,SerT,3,False,HGNC:11056,MIM:601019,"617301,621428",1,FBhh0001005,FlyBase_FB2026_02
SLC6A9,FBgn0011603,ine,3,False,HGNC:11056,MIM:601019,"617301,621428",0,,FlyBase_FB2026_02
SNRK,FBgn0033915,Snrk,11,True,HGNC:30598,MIM:612760,,0,,FlyBase_FB2026_02
SORCS3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ST3GAL3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
STK32C,FBgn0052944,CG32944,13,True,HGNC:21332,MIM:621308,,0,,FlyBase_FB2026_02
SZT2,,,,False,,,,0,,FlyBase_FB2026_02_no_match
TCF12,FBgn0267821,da,11,True,HGNC:11623,MIM:600480,"615314,619718",1,FBhh0000433,FlyBase_FB2026_02
TCTA,,,,False,,,,0,,FlyBase_FB2026_02_no_match
TIE1,FBgn0022800,Cad96Ca,4,True,HGNC:11809,MIM:600222,619401,0,,FlyBase_FB2026_02
TIE1,FBgn0031518,CG3277,3,False,HGNC:11809,MIM:600222,619401,0,,FlyBase_FB2026_02
TIE1,FBgn0014073,Tie,3,False,HGNC:11809,MIM:600222,619401,0,,FlyBase_FB2026_02
TMEM200C,FBgn0035171,CG12502,3,True,HGNC:37208,,,0,,FlyBase_FB2026_02
TRAIP,FBgn0034314,nopo,11,True,HGNC:30764,MIM:605958,616777,1,FBhh0001455,FlyBase_FB2026_02
TRAIP,FBgn0026878,CG4325,4,False,HGNC:30764,MIM:605958,616777,1,FBhh0001455,FlyBase_FB2026_02
TRAIP,FBgn0034312,CG10916,3,False,HGNC:30764,MIM:605958,616777,1,FBhh0001455,FlyBase_FB2026_02
TRAPPC9,FBgn0261787,brun,13,True,HGNC:30832,MIM:611966,613192,1,FBhh0001218,FlyBase_FB2026_02
TSC22D2,FBgn0259176,bun,6,True,HGNC:29095,MIM:617724,,0,,FlyBase_FB2026_02
VGLL3,FBgn0003975,vg,7,True,HGNC:24327,MIM:609980,,0,,FlyBase_FB2026_02
VPS28,FBgn0021814,Vps28,14,True,HGNC:18178,MIM:611952,,0,,FlyBase_FB2026_02
VRK1,FBgn0027889,ball,12,True,HGNC:12718,MIM:602168,"607596,620542",0,,FlyBase_FB2026_02
VRK1,FBgn0027504,bsd,4,False,HGNC:12718,MIM:602168,"607596,620542",0,,FlyBase_FB2026_02
VRK1,FBgn0031441,CG9962,3,False,HGNC:12718,MIM:602168,"607596,620542",0,,FlyBase_FB2026_02
WDR12,FBgn0032298,CG6724,14,True,HGNC:14098,MIM:616620,,0,,FlyBase_FB2026_02
XRN2,FBgn0031868,Rat1,14,True,HGNC:12836,MIM:608851,,0,,FlyBase_FB2026_02
XRN2,FBgn0020261,pcm,4,False,HGNC:12836,MIM:608851,,0,,FlyBase_FB2026_02
ZNF16,FBgn0038047,CG5245,3,True,HGNC:12947,MIM:601262,,0,,FlyBase_FB2026_02
ZNF16,FBgn0020309,crol,3,True,HGNC:12947,MIM:601262,,0,,FlyBase_FB2026_02
ZNF197,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF251,FBgn0020309,crol,3,True,HGNC:13045,,,0,,FlyBase_FB2026_02
ZNF34,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF517,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF660,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF7,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF827,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ZNF852,FBgn0020309,crol,3,True,HGNC:27713,,,0,,FlyBase_FB2026_02
