human_gene_symbol,dmel_gene_id,dmel_gene_symbol,diopt_score,credible_set_mapped,magma_exomewide,magma_p,positive_control,flybase_disease_model_count,neuron_mean_expression,neuron_positive_percent,interneuron_mean_expression,interneuron_positive_percent,motor_neuron_mean_expression,motor_neuron_positive_percent,sensory_neuron_mean_expression,sensory_neuron_positive_percent,sensory_organ_cell_mean_expression,sensory_organ_cell_positive_percent,glial_cell_mean_expression,glial_cell_positive_percent
MED8,FBgn0034503,MED8,14,True,False,,False,0,474,1,716,1,323,0,497,1,526,1,530,1
MEF2C,FBgn0011656,Mef2,11,False,True,5.339e-10,True,3,862,41,1172,37,527,38,847,43,855,40,835,38
MFSD3,FBgn0036662,CG9706,3,True,False,,False,0,514,1,766,1,391,3,522,1,610,1,589,2
MON1A,FBgn0031640,Mon1,14,True,False,,False,0,509,1,860,0,210,1,507,1,557,1,568,1
MROH1,FBgn0040236,c11.1,12,True,False,,False,0,545,7,829,4,417,6,543,8,614,8,581,9
MST1R,FBgn0025740,PlexB,3,True,False,,False,1,720,30,946,24,576,47,664,29,690,27,639,24
NF1,FBgn0015269,Nf1,14,False,False,,True,2,646,16,972,14,404,17,604,16,638,15,650,14
NKX2-4,FBgn0287186,scro,11,True,False,,False,0,856,10,1208,30,551,0,731,3,782,7,726,11
POC1B,FBgn0036354,Poc1,10,True,False,,False,0,410,0,298,0,317,0,483,0,609,1,559,2
PPIH,FBgn0033089,CG17266,14,True,False,,False,0,425,0,457,0,312,1,488,0,515,0,573,1
PPP1R16A,FBgn0036801,MYPT-75D,11,True,False,,False,0,1052,37,1290,28,672,36,1087,39,1120,39,1211,44
PTPRF,FBgn0000464,Lar,11,True,True,1.3709e-12,False,2,1803,78,2247,79,1548,89,1630,77,1575,70,1339,50
RBM6,FBgn0031318,CG4887,5,True,False,,False,0,722,27,1013,25,708,62,662,23,686,23,681,23
RECQL4,FBgn0040290,RecQ4,12,True,False,,False,0,447,1,380,0,573,3,533,0,567,0,534,0
REELD1,FBgn0039648,CG14515,6,True,False,,False,0,428,0,702,0,0,0,483,0,532,0,493,0
RHOA,FBgn0014020,Rho1,12,True,False,,False,0,709,25,925,13,472,19,667,26,734,24,800,32
RNF123,FBgn0038296,Kpc1,14,True,False,,False,0,536,1,779,1,474,2,549,1,571,1,476,1
ROBO2,FBgn0005631,robo1,9,False,True,1.5778e-06,False,2,649,16,913,14,534,26,616,16,647,15,655,14
RPL8,FBgn0261602,RpL8,14,True,False,,False,0,1043,49,1210,40,752,59,962,50,973,48,1127,55
RPLP2,FBgn0003274,RpLP2,12,False,True,7.9442e-07,False,0,1209,54,1343,43,1076,71,1058,52,1090,52,1436,65
SEMA3F,FBgn0011260,Sema2a,6,False,True,1.3641e-07,False,0,680,13,927,10,539,24,613,12,618,11,576,7
SEMA3F,FBgn0264273,Sema2b,6,False,True,1.3641e-07,False,0,837,20,1145,21,825,21,756,18,764,16,707,11
SEMA6D,FBgn0011259,Sema1a,9,False,True,7.2376e-08,False,1,1343,63,1725,66,1219,79,1275,61,1236,53,1214,43
SEMA6D,FBgn0016059,Sema1b,9,False,True,7.2376e-08,False,0,594,14,875,5,435,9,591,15,633,12,687,18
SH3RF2,FBgn0040294,POSH,4,True,False,,False,0,480,2,782,1,339,3,492,1,534,1,496,1
SLC6A3,FBgn0034136,DAT,12,False,False,,True,3,664,3,1087,4,506,1,581,3,704,2,1023,9
SLC6A9,FBgn0267326,Ntl,7,False,True,7.0447e-08,False,0,435,0,0,0,0,0,510,0,522,0,671,2
SNRK,FBgn0033915,Snrk,11,True,False,,False,0,602,11,898,9,409,11,583,12,624,12,585,11
STK32C,FBgn0052944,CG32944,13,False,True,5.7588e-07,False,0,643,10,833,4,654,45,589,9,588,7,480,4
TCF12,FBgn0267821,da,11,False,True,2.1621e-06,False,1,707,26,968,16,535,21,711,30,729,26,668,22
TIE1,FBgn0022800,Cad96Ca,4,False,True,1.8369e-07,False,0,465,5,724,1,418,4,438,4,538,3,596,4
TMEM200C,FBgn0035171,CG12502,3,True,True,1.8174e-07,False,0,725,4,928,11,404,0,763,1,727,3,440,4
TRAIP,FBgn0034314,nopo,11,True,False,,False,1,432,1,851,0,465,1,457,1,526,1,549,1
TRAPPC9,FBgn0261787,brun,13,False,False,,True,1,531,4,868,2,363,4,521,3,586,3,549,3
TSC22D2,FBgn0259176,bun,6,False,True,2.4231e-07,False,0,1846,80,1824,73,1462,88,1952,83,1941,81,2284,83
VGLL3,FBgn0003975,vg,7,True,False,,False,0,661,9,890,0,356,2,660,13,644,0,762,5
VPS28,FBgn0021814,Vps28,14,True,False,,False,0,642,5,879,2,402,2,561,5,613,5,617,7
VRK1,FBgn0027889,ball,12,True,False,,False,0,550,1,797,0,247,0,505,0,554,0,408,1
WDR12,FBgn0032298,CG6724,14,False,True,2.7057e-06,False,0,443,0,814,0,279,1,477,0,534,0,505,0
XRN2,FBgn0031868,Rat1,14,True,True,3.1279e-11,False,0,476,1,763,1,347,2,483,1,516,1,520,1
ZNF16,FBgn0038047,CG5245,3,True,False,,False,0,452,0,701,0,0,0,468,0,526,0,596,0
ZNF16,FBgn0020309,crol,3,True,False,,False,0,926,49,1204,41,595,44,933,53,987,52,1012,54
ZNF251,FBgn0020309,crol,3,True,False,,False,0,926,49,1204,41,595,44,933,53,987,52,1012,54
ZNF852,FBgn0020309,crol,3,True,False,,False,0,926,49,1204,41,595,44,933,53,987,52,1012,54
